timestamp,cpu_util_pct,mem_used_MB,mem_total_MB,swap_used_MB
2026/06/02 18:57:02,5.2,3601,61909,0
2026/06/02 18:57:07,7.8,6289,61909,0
2026/06/02 18:57:11,20.5,3880,61909,0
2026/06/02 18:57:16,20.9,3880,61909,0
2026/06/02 18:57:20,23.0,3792,61909,0
2026/06/02 18:57:25,23.0,3781,61909,0
2026/06/02 18:57:29,22.8,3695,61909,0
2026/06/02 18:57:34,22.6,3653,61909,0
2026/06/02 18:57:38,21.4,3628,61909,0
2026/06/02 18:57:43,20.8,3592,61909,0
2026/06/02 18:57:47,22.9,3568,61909,0
2026/06/02 18:57:52,22.3,3574,61909,0
2026/06/02 18:57:57,21.4,3613,61909,0
2026/06/02 18:58:01,21.9,3624,61909,0
2026/06/02 18:58:06,22.7,3566,61909,0
2026/06/02 18:58:10,22.3,3520,61909,0
2026/06/02 18:58:15,21.7,3530,61909,0
2026/06/02 18:58:19,20.4,3578,61909,0
2026/06/02 18:58:24,19.7,3552,61909,0
2026/06/02 18:58:28,21.0,3589,61909,0
2026/06/02 18:58:33,21.0,3565,61909,0
2026/06/02 18:58:37,22.8,3587,61909,0
2026/06/02 18:58:42,19.6,3554,61909,0
2026/06/02 18:58:46,23.5,3525,61909,0
2026/06/02 18:58:51,22.3,3529,61909,0
2026/06/02 18:58:55,21.1,3563,61909,0
2026/06/02 18:59:00,21.5,3534,61909,0
2026/06/02 18:59:04,21.0,3547,61909,0
2026/06/02 18:59:09,21.3,3541,61909,0
2026/06/02 18:59:13,22.3,3610,61909,0
2026/06/02 18:59:18,21.2,3558,61909,0
2026/06/02 18:59:22,22.2,3540,61909,0
2026/06/02 18:59:27,22.4,3544,61909,0
2026/06/02 18:59:31,20.9,3534,61909,0
2026/06/02 18:59:36,22.1,3532,61909,0
2026/06/02 18:59:40,21.7,3537,61909,0
2026/06/02 18:59:45,21.5,3580,61909,0
2026/06/02 18:59:50,22.9,3548,61909,0
2026/06/02 18:59:54,20.9,3595,61909,0
2026/06/02 18:59:59,20.1,3588,61909,0
2026/06/02 19:00:03,21.8,3584,61909,0
2026/06/02 19:00:08,23.0,3615,61909,0
2026/06/02 19:00:12,20.9,3572,61909,0
2026/06/02 19:00:17,23.5,3548,61909,0
2026/06/02 19:00:21,19.6,3570,61909,0
2026/06/02 19:00:26,22.6,3615,61909,0
2026/06/02 19:00:30,19.6,3576,61909,0
2026/06/02 19:00:35,23.8,3570,61909,0
2026/06/02 19:00:39,21.6,3564,61909,0
2026/06/02 19:00:44,22.2,3605,61909,0
2026/06/02 19:00:48,22.0,3563,61909,0
2026/06/02 19:00:53,21.4,3609,61909,0
2026/06/02 19:00:57,23.0,3572,61909,0
2026/06/02 19:01:02,21.7,3543,61909,0
2026/06/02 19:01:06,20.7,3546,61909,0
2026/06/02 19:01:11,22.2,3613,61909,0
2026/06/02 19:01:15,21.2,3579,61909,0
2026/06/02 19:01:20,19.8,3541,61909,0
2026/06/02 19:01:24,21.9,3538,61909,0
2026/06/02 19:01:29,22.4,3537,61909,0
2026/06/02 19:01:33,22.6,3595,61909,0
2026/06/02 19:01:38,22.0,3563,61909,0
2026/06/02 19:01:42,21.8,3558,61909,0
2026/06/02 19:01:47,21.3,3585,61909,0
2026/06/02 19:01:52,19.3,3569,61909,0
2026/06/02 19:01:56,20.7,3561,61909,0
2026/06/02 19:02:01,21.0,3542,61909,0
2026/06/02 19:02:05,20.6,3542,61909,0
2026/06/02 19:02:10,21.5,3548,61909,0
2026/06/02 19:02:14,23.5,3535,61909,0
2026/06/02 19:02:19,20.7,3553,61909,0
2026/06/02 19:02:23,21.0,3546,61909,0
2026/06/02 19:02:28,21.0,3548,61909,0
2026/06/02 19:02:32,20.8,3547,61909,0
2026/06/02 19:02:37,20.9,3518,61909,0
2026/06/02 19:02:41,20.6,3513,61909,0
2026/06/02 19:02:46,21.0,3557,61909,0
2026/06/02 19:02:50,19.1,3553,61909,0
2026/06/02 19:02:55,23.1,3533,61909,0
2026/06/02 19:02:59,22.3,3533,61909,0
2026/06/02 19:03:04,20.3,3556,61909,0
2026/06/02 19:03:08,19.5,3533,61909,0
2026/06/02 19:03:13,19.3,3532,61909,0
2026/06/02 19:03:17,20.2,3538,61909,0
2026/06/02 19:03:22,20.9,3553,61909,0
2026/06/02 19:03:26,20.9,3534,61909,0
2026/06/02 19:03:31,21.0,3542,61909,0
2026/06/02 19:03:35,20.9,3534,61909,0
2026/06/02 19:03:40,22.4,3524,61909,0
2026/06/02 19:03:45,22.2,3541,61909,0
2026/06/02 19:03:49,21.3,3545,61909,0
2026/06/02 19:03:54,21.6,3588,61909,0
2026/06/02 19:03:58,20.5,3526,61909,0
2026/06/02 19:04:03,20.7,3527,61909,0
2026/06/02 19:04:07,21.0,3512,61909,0
2026/06/02 19:04:12,21.2,3521,61909,0
2026/06/02 19:04:16,23.1,3527,61909,0
2026/06/02 19:04:21,22.5,3564,61909,0
2026/06/02 19:04:25,23.2,3557,61909,0
2026/06/02 19:04:30,21.3,3538,61909,0
2026/06/02 19:04:34,19.9,3554,61909,0
2026/06/02 19:04:39,21.4,3553,61909,0
2026/06/02 19:04:43,19.4,3526,61909,0
2026/06/02 19:04:48,19.7,3529,61909,0
2026/06/02 19:04:52,21.1,3548,61909,0
2026/06/02 19:04:57,21.5,3593,61909,0
2026/06/02 19:05:01,23.1,3549,61909,0
2026/06/02 19:05:06,22.8,3556,61909,0
2026/06/02 19:05:10,22.1,3539,61909,0
2026/06/02 19:05:15,19.8,3547,61909,0
2026/06/02 19:05:19,20.9,3547,61909,0
2026/06/02 19:05:24,21.3,3559,61909,0
2026/06/02 19:05:28,22.5,3577,61909,0
2026/06/02 19:05:33,21.5,3537,61909,0
2026/06/02 19:05:38,20.0,3533,61909,0
2026/06/02 19:05:42,20.6,3529,61909,0
2026/06/02 19:05:47,20.5,3525,61909,0
2026/06/02 19:05:51,21.3,3530,61909,0
2026/06/02 19:05:56,21.9,3582,61909,0
2026/06/02 19:06:00,20.2,3545,61909,0
2026/06/02 19:06:05,22.0,3539,61909,0
2026/06/02 19:06:09,21.9,3534,61909,0
2026/06/02 19:06:14,21.6,3537,61909,0
2026/06/02 19:06:18,22.5,3546,61909,0
2026/06/02 19:06:23,21.1,3571,61909,0
2026/06/02 19:06:27,23.3,3576,61909,0
2026/06/02 19:06:32,22.2,3568,61909,0
2026/06/02 19:06:36,21.1,3568,61909,0
2026/06/02 19:06:41,22.9,3570,61909,0
2026/06/02 19:06:45,20.0,3575,61909,0
2026/06/02 19:06:50,21.6,3586,61909,0
2026/06/02 19:06:54,21.3,3610,61909,0
2026/06/02 19:06:59,24.4,3613,61909,0
